quant-ph/9908043,state complex cft state time propos relat complex volum extrem cauchi surfac particular conjectur complex cft state time accord propos call complex equal volum conjectur earliest check conjectur observ rate growth holograph complex late time consist univers bound lloyd lloyd bound follow margolu levitin theorem conjectur rate complexif bound energi [] paper goal present exampl growth complex comput conjectur respect lloyd bound precis consid start vacuum state dimension cft perturb hamiltonian relev oper time depend coupl hamiltonian given simplic consid case conform dimens relev oper subsequ state evolv accord perturb hamiltonian claim complex evolv state time depend diverg result rate complexif
quant-ph/9908043,come far studi black hole spacetim conjectur produc result complex grow linearli time late time come contribut region black hole horizon linear growth suppos gener interact quantum system state non maxim complex furthermor time deriv simpli proport mass black hole interpret energi state dual theori satur propos bound growth complex [] note recent studi finit time growth rate violat bound discuss valid bound black hole context bulk point view highli non trivial obtain simpli mass relat mass persist studi effect higher curvatur correct recent work inclus flavour brane find bound satisfi longer satur interest studi conjectur spacetim recent work investig extens
quant-ph/9908043,bipartit linear model feedback control control driven correl nois awar formal describ set emphasis physic heat identifi previou generalis second law inform theoret term fail context bound present formal hold degre correl dynam intrins comput inform dynam great perspect exact natur comput fring view consid univers sort comput futur state [] practic knowledg achiev futur state imperfect precis origin uncertainti immateri aris inher coars grain imprecis initi condit abstract pure nois given unavoid realiti particular perspect mean emerg seek quantifi transform uncertainti non parametr manner natur introduct inform theori perspect comput readili understood inform process aris input state transform output state
quant-ph/9908043,complex boundari state equal volum certain maxim spacelik slice end boundari recent known complex action conjectur state complex boundari state given shell bulk action call wheeler dewitt wdw patch time slice boundari qft live wdw patch domain depend cauchi surfac bulk end boundari conjectur growth rate complex satisfi lloyd bound [] averag energi state time dual energi bulk state exampl black hole mass satur neutral case inspir work rais intens studi holograph complex lloyd bound holograph graviti model paper aim studi properti complex base conjectur holograph qcd model propos gubser collabor known long time qcd strongli coupl theori low energi difficult
quant-ph/9807006,point oper satisfi follow import ident odd wigner function transform covariantli respect clifford group clifford oper parametr affin symplect transform symplect matrix vector call metaplect represent symplect group conjug action phase space point oper given particular weyl oper induc translat phase space stabil group code state uniform account stabil formal [] quit stabil state commonli defin term pauli group follow wai consid subgroup pauli group contain nontrivi multipl ident oper oper orthogon project subspac dimens stabil code associ stabil group code span singl state call pure stabil state denot given precis project stabil code word stabil state uniqu eigenvector scalar pauli
quant-ph/9807006,compactli case state vector represent requir excess comput resourc gener simul base reliabl studi fault inject analysi quantum architectur gener purpos simul limit small quantum circuit design fast simul techniqu target quantum circuit facilit robust reliabl analysi larger quantum circuit clifford gate hadamard phase control cnot stabil circuit state gottesman [] knill identifi import subclass quantum circuit call stabil circuit simul effici classic comput stabil circuit exclus compos clifford gate hadamard phase control gate figur follow qubit measur comput basi circuit appli comput basi state usual produc output state known stabil state extens applic qecc architectur stabil circuit studi heavili stabil
quant-ph/9807006,represent let unitari represent bidirect quantum channel bicovari respect represent follow relat hold input densiti oper group element denot unitari channel associ unitari oper similar convent unitari channel definit bicovari channel defin bidirect channel bicovari bicovari respect group represent unitari design exampl bidirect channel bicovari control cnot gate follow covari [] pauli group ident element gener exampl bicovari channel appli cnot probabl complementari probabl replac input maxim mix state promin idea gate teleport develop gener choi state cnot gate send share maxim entangl state simul cnot gate action input state teleport choi state earlier relat develop idea gener notion teleport simul
quant-ph/9807006,connect devic epc increas limit devic linear gate connect color onlin schemat experiment setup connect cnot gate controltarget simultan simultan sampl clifford gate describ experi provid brief summari method detail discuss ref main idea construct length sequenc random qubit clifford gate append invers sequenc invers effici calcul gottesman knill theorem [] start state appli sequenc clifford gate measur popul qubit sequenc procedur repeat time differ random sequenc limit larg twirl error map depolar error map averag result fit exponenti decai averag error clifford gate wide varieti nois model state prepar measur error affect decai constant captur fit paramet number gate clifford
quant-ph/9707021,state perturb entangl entropi associ subsystem chang associ emerg geometri perturb data differ subsystem invers tensor radon transform allow recov perturb metric background similar procedur md give imperfect embed background geometri consid situat attempt recov given background metric entangl perturb comput state discret finit dimension quantum system condens matter model [] on consid assum continuum limit smooth process data usual radon transform defin perform altern discret version appli illustr reconstruct exampl flat space procedur easili gener background long invers transform exist consid case determin exact geometri encod state dimension flat space metric codimens hyperplan separ space adjac region comput interfac area
quant-ph/9707021,end loop state vanish exponenti level dimer low energi model gap conduct band half fill fill fluxon ad half fill insert fluxon ground state intra gap boundari local fluxon excit boundari state topolog protect perturb bulk implement superconduct qubit offer altern fault toler quantum comput topolog protect embodi exampl qubit [] conclus present altern path perform quantum simul move awai known microwav photon architectur concept base fluxon dynam network josephson junction unlik photon fluxon individu trap insid superinductor loop number remark stabl time durat practic infinit compar typic experi timescal control readout state perform standard tool cqed quantum hamiltonian simul encod
